scheme_code,amfi_name,amc_name,ter_file_name,matched_ter_pct,ter_as_of
"149700","Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)","Sundaram Mutual Fund","Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)","1.2400","2026-08-31"
"152916","Kotak Nifty Midcap 150 Momentum 50 Index Fund","Kotak Mahindra Mutual Fund","Kotak Nifty Midcap 150 Momentum 50 Index Fund","0.8369","2026-08-31"
"152564","Tata Nifty MidSmall Healthcare Index Fund","Tata Mutual Fund","TATA NIFTY MIDSMALL HEALTHCARE INDEX FUND","0.5900","2026-08-31"
"149966","HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund","HSBC Mutual Fund","HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund","0.1900","2026-08-31"
"118859","Mirae Asset Liquid Fund","Mirae Asset Mutual Fund","Mirae Asset Liquid Fund","0.0900","2026-08-31"
"135677","Navi Large & Midcap Fund","Navi Mutual Fund","Navi Large & Midcap Fund","0.6600","2026-08-31"
"147625","Motilal Oswal Nifty 500 Index Fund","Motilal Oswal Mutual Fund","Motilal Oswal Nifty 500 Index Fund","0.2300","2026-08-31"
"152431","Groww Nifty Smallcap 250 Index Fund","Groww Mutual Fund","Groww Nifty Smallcap 250 Index Fund","0.5900","2026-08-31"
"152509","Helios Balanced Advantage Fund","Helios Mutual Fund","Helios Balanced Advantage Fund","1.3300","2026-08-31"
"154200","Groww BSE Hospitals ETF FOF","Groww Mutual Fund","Groww BSE Hospitals ETF FOF","0.2400","2026-08-31"
"154121","Mahindra Manulife Innovation Opportunities Fund","Mahindra Manulife Mutual Fund","Mahindra Manulife Innovation Opportunities Fund","0.9400","2026-08-31"
"120249","LIC MF Liquid Fund","LIC Mutual Fund","LIC MF Liquid Fund","0.1300","2026-08-31"
"153872","The Wealth Company Flexi Cap Fund","The Wealth Company Mutual Fund","THE WEALTH COMPANY FLEXI CAP FUND","1.7500","2026-08-31"
"150631","Samco Overnight Fund","Samco Mutual Fund","Samco Overnight Fund","0.2300","2026-08-31"
"120334","ICICI Prudential Multi Asset Allocation Fund","ICICI Prudential Mutual Fund","ICICI Prudential Multi Asset Allocation Fund","0.8300","2026-08-31"
"120733","UTI - Banking and Financial Services Fund","UTI Mutual Fund","UTI - Banking and Financial Services Fund","1.3800","2026-08-31"
"152628","Baroda BNP Paribas Retirement Fund","Baroda BNP Paribas Mutual Fund","Baroda BNP Paribas Retirement Fund","1.2100","2026-08-31"
"119251","Tata Retirement Savings Fund-Progressive Plan","Tata Mutual Fund","TATA RETIREMENT SAVINGS FUND-PROGRESSIVE PLAN","0.8200","2026-08-31"
"147830","Axis Retirement Fund - Conservative Plan","Axis Mutual Fund","Axis Retirement Fund - Conservative Plan","1.2500","2026-08-31"
"153246","LIC MF Multi Asset Allocation Fund","LIC Mutual Fund","LIC MF Multi Asset Allocation Fund","1.0800","2026-08-31"
"150706","SBI CRISIL IBX Gilt Index - April 2029 Fund","SBI Mutual Fund","SBI CRISIL IBX Gilt Index - April 2029 Fund","0.2100","2026-08-31"
"119312","Tata Childrens Fund","Tata Mutual Fund","TATA CHILDRENS FUND","1.8400","2026-08-31"
"152162","Bajaj Finserv Banking and PSU Debt Fund","Bajaj Finserv Mutual Fund","Bajaj Finserv Banking and PSU Debt Fund","0.3400","2026-08-31"
"146062","DSP Overnight Fund","DSP Mutual Fund","DSP Overnight Fund","0.1100","2026-08-31"
"153987","PGIM India Multi Asset Allocation Fund","PGIM India Mutual Fund","PGIM India Multi Asset Allocation Fund","0.8400","2026-08-31"
"128006","Kotak Medium Term Fund","Kotak Mahindra Mutual Fund","Kotak Medium Term Fund","0.6718","2026-08-31"
"120166","Kotak Flexi Cap Fund","Kotak Mahindra Mutual Fund","Kotak Flexi Cap Fund","0.6589","2026-08-31"
"152728","ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND","ICICI Prudential Mutual Fund","ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND","1.1200","2026-08-31"
"150344","Tata Nifty India Digital ETF Fund of Fund","Tata Mutual Fund","TATA NIFTY INDIA DIGITAL ETF FUND OF FUND","0.1400","2026-08-31"
"124175","DSP Banking and PSU Debt Fund","DSP Mutual Fund","DSP Banking and PSU Debt Fund","0.3300","2026-08-31"
"153868","Samco Small Cap Fund","Samco Mutual Fund","Samco Small Cap Fund","2.0400","2026-08-31"
"135810","Tata India Pharma & Healthcare Fund","Tata Mutual Fund","TATA INDIA PHARMA & HEALTHCARE FUND","1.0000","2026-08-31"
"154149","Kotak Services Fund","Kotak Mahindra Mutual Fund","Kotak Services Fund","1.2726","2026-08-31"
"150737","HDFC Silver ETF Fund of Fund","HDFC Mutual Fund","HDFC Silver ETF Fund of Fund","0.2200","2026-08-31"
"150725","Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60 - 40 Index Fund","Kotak Mahindra Mutual Fund","Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60 - 40 Index Fund","0.2104","2026-08-31"
"118473","BANDHAN ELSS - Tax Saver Fund","Bandhan Mutual Fund","Bandhan ELSS - Tax Saver Fund","0.9600","2026-08-31"
"120323","ICICI Prudential Value Fund (erstwhile Value Discovery Fund)","ICICI Prudential Mutual Fund","ICICI Prudential Value Fund (erstwhile Value Discovery Fund)","1.0700","2026-08-31"
"146196","Edelweiss Small Cap Fund","Edelweiss Mutual Fund","Edelweiss Small Cap Fund","0.6300","2026-08-31"
"150390","Quantum Nifty 50 ETF FOF","Quantum Mutual Fund","Quantum Nifty 50 ETF FOF","0.0700","2026-08-31"
"153389","Bandhan CRISIL-IBX 10:90 Gilt Plus SDL Index - Dec 2029 Fund","Bandhan Mutual Fund","Bandhan CRISIL-IBX 10:90 Gilt Plus SDL Index - Dec 2029 Fund","0.0600","2026-08-31"
"150515","Navi Nifty India Manufacturing Index Fund","Navi Mutual Fund","Navi Nifty India Manufacturing Index Fund","0.5700","2026-08-31"
"120264","LIC MF Flexi Cap Fund","LIC Mutual Fund","LIC MF FLEXI CAP FUND","1.9500","2026-08-31"
"119705","SBI COMMA FUND","SBI Mutual Fund","SBI Comma Fund","1.3500","2026-08-31"
"153937","Bajaj Finserv Banking and Financial Services Fund","Bajaj Finserv Mutual Fund","Bajaj Finserv Banking and Financial Services Fund","1.1400","2026-08-31"
"119839","SBI CONSERVATIVE HYBRID FUND","SBI Mutual Fund","SBI CONSERVATIVE HYBRID FUND","0.9800","2026-08-31"
"119771","Kotak Arbitrage Fund","Kotak Mahindra Mutual Fund","Kotak Arbitrage Fund","2.3962","2026-08-31"
"149450","Samco Flexi Cap Fund","Samco Mutual Fund","SAMCO FLEXI CAP FUND","1.8100","2026-08-31"
"151190","quant Overnight Fund","quant Mutual Fund","quant Overnight Fund","0.1900","2026-08-31"
"149838","Aditya Birla Sun Life Nifty Next 50 Index Fund","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Nifty Next 50 Index Fund","0.4700","2026-08-31"
"151769","SBI BSE Sensex Index Fund","SBI Mutual Fund","SBI BSE Sensex Index Fund","0.2400","2026-08-31"
